"Período de tempo","Atividades","Distância total","Distância média","Distância máxima","Tempo total de atividade","Tempo em movimento","Tempo médio","Tempo máximo","Total de percursos","Tempo de escalada","Total de subida na rota","Máximo de subida na rota","Percursos tentados","Percursos concluídos","Concluídas sem quedas","Quedas","Calorias na atividade","Subida total","Média da subida","Subida máxima","Descida total","Média da descida","Descida máxima","Velocidade média","Velocidade máxima","Ritmo médio","Ritmo médio ajustado por inclinação","Melhor ritmo","Frequência cardíaca média","Frequência cardíaca máxima","Cadência média de corrida","Cadência de corrida máxima","Cadência média de bicicleta","Cadência de bicicleta máxima","Potência média","Energia máxima","Oscilação vertical","Tempo de contato com o solo","Comprimento média de passos","Média de estresse","Cadência média","Cadência máxima","Tempo total de descanso","Tempo total"
"11/14/2021","2","55.02 km","27.51 km","45.01 km","6:05:04 h:m:s","6:04:25 h:m:s","3:02:32 h:m:s","5:04:24 h:m:s","--","--","--","--","--","--","--","--","3,286","806 m","403 m","649 m","887 m","444 m","732 m","9.0 km/h","233.6 km/h","6:38 /km","--","0:15 /km","130 bpm","173 bpm","160 ppm","248 ppm","--","--","--","--","--","--","0.98 m","--","--","--","--","6:05:04 h:m:s"
"11/07/2021","4","66.13 km","16.53 km","21.11 km","6:33:59 h:m:s","6:32:58 h:m:s","1:38:30 h:m:s","2:18:58 h:m:s","--","--","--","--","--","--","--","--","3,956","967 m","242 m","358 m","974 m","243 m","365 m","10.1 km/h","218.7 km/h","5:57 /km","--","0:16 /km","136 bpm","184 bpm","165 ppm","178 ppm","--","--","--","--","--","--","1.01 m","--","--","--","--","6:33:59 h:m:s"
"10/31/2021","7","58.57 km","8.37 km","20.01 km","6:05:09 h:m:s","5:47:30 h:m:s","52:10 h:m:s","2:01:26 h:m:s","--","--","--","--","--","--","--","--","2,999","1,005 m","144 m","347 m","1,014 m","145 m","351 m","9.6 km/h","234.7 km/h","6:14 /km","--","0:15 /km","117 bpm","169 bpm","156 ppm","188 ppm","--","--","--","--","--","--","0.97 m","--","--","--","--","6:05:09 h:m:s"
"10/24/2021","4","87.25 km","21.81 km","42.20 km","8:41:26 h:m:s","8:40:35 h:m:s","2:10:21 h:m:s","4:35:48 h:m:s","--","--","--","--","--","--","--","--","5,291","1,258 m","315 m","648 m","1,249 m","312 m","654 m","10.0 km/h","234.6 km/h","5:59 /km","--","0:15 /km","139 bpm","172 bpm","166 ppm","248 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","8:41:26 h:m:s"
"10/17/2021","3","33.03 km","11.01 km","13.01 km","3:09:10 h:m:s","3:08:38 h:m:s","1:03:03 h:m:s","1:13:07 h:m:s","--","--","--","--","--","--","--","--","2,490","660 m","220 m","368 m","662 m","221 m","370 m","10.5 km/h","233.6 km/h","5:44 /km","--","0:15 /km","148 bpm","196 bpm","163 ppm","234 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","3:09:10 h:m:s"
"10/10/2021","3","77.01 km","25.67 km","59.00 km","10:23:56 h:m:s","10:18:33 h:m:s","3:27:59 h:m:s","7:35:03 h:m:s","--","--","--","--","--","--","--","--","5,273","1,270 m","423 m","994 m","1,264 m","421 m","1,002 m","7.4 km/h","206.7 km/h","8:06 /km","--","0:17 /km","98 bpm","135 bpm","141 ppm","248 ppm","--","--","--","--","--","--","0.84 m","--","--","--","--","10:23:56 h:m:s"
"10/03/2021","2","25.10 km","12.55 km","13.09 km","2:29:04 h:m:s","2:28:41 h:m:s","1:14:32 h:m:s","1:15:41 h:m:s","--","--","--","--","--","--","--","--","1,934","377 m","188 m","210 m","372 m","186 m","211 m","10.1 km/h","59.4 km/h","5:56 /km","--","1:01 /km","--","--","163 ppm","172 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","2:29:04 h:m:s"
"09/26/2021","4","40.58 km","10.14 km","14.01 km","3:48:51 h:m:s","3:47:42 h:m:s","57:13 h:m:s","1:18:41 h:m:s","--","--","--","--","--","--","--","--","3,129","548 m","137 m","198 m","534 m","134 m","179 m","10.6 km/h","231.7 km/h","5:38 /km","--","0:16 /km","--","--","167 ppm","176 ppm","--","--","--","--","--","--","1.06 m","--","--","--","--","3:48:51 h:m:s"
"09/19/2021","3","43.55 km","14.52 km","25.01 km","4:07:45 h:m:s","4:07:00 h:m:s","1:22:35 h:m:s","2:13:55 h:m:s","--","--","--","--","--","--","--","--","2,601","589 m","196 m","323 m","603 m","201 m","330 m","10.5 km/h","226.4 km/h","5:41 /km","--","0:16 /km","129 bpm","171 bpm","166 ppm","176 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","4:07:45 h:m:s"
"09/12/2021","4","54.05 km","13.51 km","18.01 km","5:17:46 h:m:s","5:16:46 h:m:s","1:19:27 h:m:s","1:49:44 h:m:s","--","--","--","--","--","--","--","--","3,239","944 m","236 m","422 m","805 m","201 m","278 m","10.2 km/h","229.2 km/h","5:53 /km","--","0:16 /km","127 bpm","166 bpm","165 ppm","202 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","5:17:46 h:m:s"
"09/05/2021","3","70.03 km","23.34 km","47.01 km","7:31:39 h:m:s","7:31:02 h:m:s","2:30:33 h:m:s","5:29:36 h:m:s","--","--","--","--","--","--","--","--","4,071","1,083 m","361 m","708 m","1,079 m","360 m","708 m","9.3 km/h","204.4 km/h","6:27 /km","--","0:18 /km","133 bpm","187 bpm","161 ppm","246 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","7:31:39 h:m:s"
"08/29/2021","2","47.02 km","23.51 km","30.01 km","4:19:48 h:m:s","4:19:12 h:m:s","2:09:54 h:m:s","2:36:18 h:m:s","--","--","--","--","--","--","--","--","2,869","647 m","324 m","438 m","645 m","322 m","441 m","10.9 km/h","219.6 km/h","5:31 /km","--","0:16 /km","143 bpm","171 bpm","167 ppm","248 ppm","--","--","--","--","--","--","1.06 m","--","--","--","--","4:19:48 h:m:s"
"08/22/2021","4","43.84 km","10.96 km","15.01 km","7:20:48 h:m:s","7:16:28 h:m:s","1:50:12 h:m:s","3:39:06 h:m:s","--","--","--","--","--","--","--","--","3,137","956 m","239 m","410 m","982 m","246 m","529 m","6.0 km/h","226.8 km/h","10:03 /km","--","0:16 /km","123 bpm","183 bpm","140 ppm","248 ppm","--","--","--","--","--","--","0.80 m","--","--","--","--","7:20:48 h:m:s"
